1950-01-01,594.4900000000006
1951-01-01,595.9658904109592
1952-01-01,595.5434972677607
1953-01-01,594.9456164383572
1954-01-01,594.7617808219187
1955-01-01,593.6842465753431
1956-01-01,593.6489617486349
1957-01-01,593.7393150684939
1958-01-01,592.9026027397267
1959-01-01,593.5494520547957
1960-01-01,594.4134426229514
1961-01-01,593.5634246575354
1962-01-01,594.6644931506856
1963-01-01,593.3124931506854
1964-01-01,592.9443715847003
1965-01-01,595.9962465753431
1966-01-01,594.6749863013706
1967-01-01,594.305426997246
1968-01-01,594.6200819672131
1969-01-01,595.1889863013696
1970-01-01,593.9167397260273
1971-01-01,594.9827397260283
1972-01-01,595.8387704918032
1973-01-01,596.2412602739723
1974-01-01,594.5962739726031
1975-01-01,595.0309041095891
1976-01-01,593.804289617486
1977-01-01,593.3363013698631
1978-01-01,595.164191780822
1979-01-01,595.8510136986305
1980-01-01,594.4246721311476
1981-01-01,594.3405753424662
1982-01-01,595.9667123287675
1983-01-01,596.3915616438361
1984-01-01,596.2739890710395
1985-01-01,596.2483013698634
1986-01-01,597.6396712328775
1987-01-01,593.4283287671233
1988-01-01,593.1027595628411
1989-01-01,593.4369041095889
1990-01-01,594.1367945205493
1991-01-01,595.687671232877
1992-01-01,595.1635245901641
1993-01-01,597.6350136986302
1994-01-01,595.3809315068495
1995-01-01,595.6791506849312
1996-01-01,595.6956830601093
1997-01-01,595.779780821918
1998-01-01,594.9756164383562
1999-01-01,593.6191791044773
2000-01-01,594.2342349726777
2001-01-01,595.7158988764043
2002-01-01,595.4378296703296
2003-01-01,594.0934453781515
2004-01-01,594.8120441988951
2005-01-01,594.8063025210089
2006-01-01,594.1035616438356
2007-01-01,594.4739999999997
2008-01-01,595.3546831955922
2009-01-01,594.0630136986308
2010-01-01,596.1906849315063
2011-01-01,596.6511232876711
2012-01-01,593.9711475409837
2013-01-01,595.484
2014-01-01,596.4586538461537
2015-01-01,594.6728767123285
2016-01-01,596.8334972677598
2017-01-01,596.8709041095892
2018-01-01,597.0242191780821
2019-01-01,599.566602209944
2020-01-01,596.5283333333335
